,residential,instit_communal_accom,pop_density,retail,jobs_density,btwn_centrality
Bond Street,0.1628594123127829,0.005595148210436129,9152.411099840903,0.024742553336188414,161588.13658864915,0.2339824553702883
Borough,0.1396205070955813,0.0017771283430720274,13999.036217428078,0.011576673772393036,100692.51144124125,0.0017907208971847763
Boston Manor,0.10073135573486257,0.0016769468690127094,4528.716324823349,0.010748183757908149,4104.869537686344,0.05182048623113262
Bounds Green,0.10916277720482792,0.0007267169068592596,9244.58080649671,0.006269599333331568,3176.409369454256,0.029957368360410186
Bow Road,0.13083561479899847,0.0025991805781944454,17082.40777499576,0.012810567129336778,7974.305093852258,0.006452356262242194
Brent Cross,0.09577283917284292,0.0011280245057029925,7376.549583016428,0.0050222726130841515,5082.999707018262,0.029957368360410186
Brixton LU,0.17929264449114904,0.0024279937974024403,14628.72414207523,0.009742610629706149,10688.177936397942,0.0
Bromley-by-Bow,0.12363109160866703,0.001912606990108529,12026.869687854423,0.014347022376490567,7026.914122656204,0.0004896877520451665
Buckhurst Hill,0.010893839188770552,0.00017936424493226888,2909.6213638822082,0.0007512045718193889,1516.8108235905686,0.029957368360410186
Burnt Oak,0.09949375888600563,0.0011842315932832793,9391.234002475421,0.005160233876554761,4671.002834596257,0.007575757575757576
Caledonian Road,0.19136966256927537,0.0027509619273950684,17368.27770796367,0.013972732607628737,12007.758447438773,0.010729922802166149
Camden Town,0.15278046614561558,0.0019200816787766012,15289.526138931451,0.015727134351959767,31733.51343619584,0.14342090102546376
Canada Water,0.139338939297938,0.001768777740697176,12439.956288445406,0.01133876280035939,5826.551275998935,0.017293178937665635
Canary Wharf LU,0.13207317537945915,0.002705106479591712,14592.36390064875,0.012550308968169522,109493.25391780655,0.012009832161923386
Canning Town,0.11933815700392808,0.0015035007332296166,10326.733951405302,0.015262544712235291,6949.6713094434845,0.004666436225371586
Cannon Street LU,0.12228297883110135,0.002623985873973322,4756.214523801654,0.030737890588729704,331635.50459737884,0.007693378653454701
Canons Park,0.10748941039956901,0.0014393666064260765,5694.2098867044015,0.00473310720742893,3578.29606740344,0.007575757575757576
Chalfont & Latimer,0.017045631621497002,0.00025853903204123133,1377.6883012604608,0.0007293232782699605,1170.708916285064,0.015122709989630142
Chalk Farm,0.15263025930634502,0.0018653120512110084,15959.425604210694,0.015592777290431677,15151.31106432235,0.05899297154050006
Chancery Lane,0.15663762220135108,0.00286717660140631,9519.369888455127,0.021308952239719344,229459.17945580796,0.01066353376239306
Charing Cross LU,0.16410773516743418,0.005031051328369248,5387.099820549949,0.02255411018906955,157980.09742008554,0.005675577063409763
Chesham,0.017045631621497002,0.00025853903204123133,2197.6412767904094,0.0007293232782699605,1641.2747612904338,0.0
Chigwell,0.010713089271946917,0.00017763880599616828,1380.9647156370336,0.0007421338860570595,612.6533178755235,0.011795713791911511
Chiswick Park,0.09692456475418655,0.0015417172923162766,8102.037415874178,0.009760999303516652,13509.135893859759,0.0
Chorleywood,0.029848710609042976,0.00032759390315174967,1079.9992805775141,0.0008269812235821239,663.0439196827143,0.02255444175596267
Clapham Common,0.17835025893319167,0.002365097379213594,12261.175822726622,0.009725250842500234,7443.676112194456,0.05182048623113262
Clapham North,0.1791765409116201,0.0024202448466363632,14924.483134546304,0.009740471872997232,11296.9542142446,0.05899297154050006
Clapham South,0.16586047837209952,0.0015315081389879047,10834.019266067375,0.009495175231771331,4693.364202062662,0.04459039059799516
Cockfosters,0.08443950977776879,0.0007554095701334245,2660.6309418937144,0.004787148897872138,1572.2692160591575,0.0
Colindale,0.0980904888745259,0.0011501138858106795,10175.665841097423,0.005177788324439508,6963.774109381579,0.015093904827745133
Colliers Wood,0.11709159014915049,0.0009919290897255032,9673.621903663947,0.007588609215025446,11683.581386892612,0.015093904827745133
Covent Garden,0.15896478726035965,0.004112206257534411,6727.2476706269645,0.021274901471617317,193334.14739016403,0.0008987210508123051
Croxley,0.031437512794004835,0.00033876795726627587,2905.230649192411,0.0009024650453794236,3382.787550242897,0.007575757575757576
Dagenham East,0.08748209375158145,0.0007315875707488552,5470.435863099121,0.004579365798119383,3317.3173890073936,0.029957368360410186
Dagenham Heathway,0.08845536755038433,0.0007166729162110471,8480.147578694956,0.004605063532907556,2314.3303453048647,0.037302684641087686
Debden,0.010713089271946917,0.00017763880599616828,2588.766406230226,0.0007421338860570595,5656.453767153023,0.015093904827745133
Dollis Hill,0.129894788382635,0.0014532387542423445,10032.355437653003,0.007311876257819084,4363.104079540016,0.0010513884088028576
Ealing Broadway,0.11344917319977788,0.0021287250414979203,6700.86923466199,0.014046192962743322,9430.94351389278,0.01737911433728924
Ealing Common,0.11331545564041598,0.0021239749595939805,6231.785670311935,0.014011517064709697,3894.4609517007466,0.05692546961558364
Earl's Court,0.20255317232192793,0.004701067379905603,16980.39175368352,0.01696043497637666,19978.285659933405,0.20967780283369664
East Acton,0.13117352465764326,0.0020709731932629077,6487.454066887702,0.013476279403486387,7193.444657463872,0.055200291892307164
East Finchley,0.10482387205157531,0.001100662034557797,5752.381294258103,0.00558441078819786,2850.1576421690143,0.04459039059799516
East Ham,0.11700216619069384,0.0012808864738251455,16707.411683510192,0.01576072415416054,6034.273905604951,0.06610784652609748
East Putney,0.15715959579092584,0.0009509265360764524,10471.892107929016,0.009373801242659562,10349.089115117735,0.02255444175596267
Eastcote,0.05807880632956031,0.0012687313696058953,5046.523546845652,0.003890258870496221,2349.828693573964,0.037302684641087686
Edgware,0.0975169752797226,0.0011743710851719275,7327.552328364695,0.004979227270286819,5726.519488080032,0.0
Edgware Road,0.1628782086775975,0.0056020018923688564,18605.8124008026,0.024759366314586462,55116.6800151745,0.159361197526597
Elephant & Castle LU,0.14761841757767355,0.0019031827483845093,15689.805792273568,0.011120429104328483,43440.88327676889,0.0034734224373007623
Elm Park,0.05633320502173393,0.0012089197615606578,4830.585681562253,0.00375692931363733,1016.4858023896503,0.02255444175596267
Embankment,0.16674632846511514,0.00450323349041261,6116.75709402882,0.020118600502542213,144722.1649777766,0.020296597150209317
Epping,0.010713089271946917,0.00017763880599616828,1908.0429645473278,0.0007421338860570595,2070.551857577106,0.0
Euston LU,0.15299864918472808,0.0019132069776449754,15560.753152957192,0.015685511101582297,81017.36971421707,0.17998198991544997
Euston Square,0.15412302631326713,0.0024096167806653525,14877.20742754507,0.016928027999188848,103581.17753274631,0.07959250297653342
Fairlop,0.10478482486712598,0.0010756477137449719,3550.134620590437,0.005462994441325756,2095.216842600861,0.0042775665399239545
Farringdon,0.16359677025567854,0.002825302995339312,12112.13950835972,0.02376741537481213,226256.64216623432,0.04327149139411496
Finchley Central,0.09577283917284292,0.0011280245057029925,7570.087340090252,0.0050222726130841515,7813.028467052355,0.03741790528862772
Finchley Road,0.15248475571546422,0.0018122573599552696,16435.499830148685,0.015462627192024238,11479.440305264769,0.21275325681219218
Finsbury Park,0.17667166018431382,0.0019415120003648068,15895.748155594665,0.01084469382832955,7286.13464887277,0.09164362253715866
Fulham Broadway,0.17964613248867772,0.002641310641227166,14944.108449582347,0.013387963152126738,15624.191003179927,0.04459039059799516
Gants Hill,0.10493791136439426,0.0010771090776427806,8127.486839705373,0.0054706768764581125,3074.482202643732,0.025391750201636133
Gloucester Road,0.20820077076166985,0.005932430106288898,14731.966871820754,0.02010593462428444,33360.78365352619,0.15894471146372294
Golders Green,0.09630312667174827,0.0011337737442747029,5897.267959669708,0.005118588544758976,4423.515576339832,0.037302684641087686
Goldhawk Road,0.17358654861262027,0.0020964445732780546,13711.554724767224,0.012442939577650197,26954.509103065884,0.010735683834543144
Goodge Street,0.1562455326333923,0.0031835421306923065,12381.789446184597,0.018826568129796533,173092.42260055375,0.0006308330452817142
Grange Hill,0.016435758796812965,0.00023226741656573541,4301.596485921878,0.0010293181785531243,1146.2131363128776,0.0045656181587740525
Great Portland Street,0.1579802322392671,0.0038160622730064576,11944.06439689016,0.020378222786875896,113785.46119418213,0.08095114644544307
Green Park,0.1628782086775975,0.0056020018923688564,4035.8940286045913,0.024759366314586462,140445.55095716132,0.3367793222831244
Greenford,0.11344917319977788,0.0021287250414979203,3823.1071526647884,0.014046192962743322,5183.58918104233,0.029957368360410186
Gunnersbury,0.09011543656533422,0.0012988546797308327,6931.109227715146,0.007961405746418565,13651.902248553717,0.015093904827745133
Hainault,0.05344985790686018,0.0005856040537907309,4842.324943552892,0.0028868197901889894,2073.4306356470483,0.0008785574374927987
Hammersmith,0.15930216722296928,0.0017952541969714156,12306.190551061343,0.010979801398800431,36231.86168240142,0.14748745832396024
Hampstead,0.15228865693185492,0.0017407542420113105,9397.57664601576,0.015287220689477899,9498.706294578284,0.04459039059799516
Hanger Lane,0.11726130072023365,0.001972145926839948,4739.689448013046,0.01248516446019954,9421.398579181863,0.04459039059799516
Harlesden,0.12461139471776057,0.001673803500676726,7041.439447478956,0.009510845854854021,9932.010784792123,0.04459039059799516
Harrow & Wealdstone,0.10748941039956901,0.0014393666064260765,8574.29076500655,0.00473310720742893,6396.203854154706,0.0
Harrow-on-the-Hill,0.10825552725424,0.0014398409428224793,7394.411409020274,0.004821284181515282,11618.025357116434,0.15249285814875171
Hatton Cross,0.06360580651583242,0.001225684472926844,1016.9009343409173,0.004744396448381221,4641.6338907165355,0.015093904827745133
Heathrow Terminal 5 LU,0.05418072005403113,0.001251906501628244,150.71791677344416,0.0038231060705680975,5432.541828431474,0.0
Heathrow Terminals 123 LU,0.054194269685262905,0.0012553164591284358,176.43887350067564,0.0038239962673157113,5525.932641241849,0.007575757575757576
Hendon Central,0.09577283917284292,0.0011280245057029925,7389.178491905299,0.0050222726130841515,7162.528295384807,0.02255444175596267
High Barnet,0.09577283917284292,0.0011280245057029925,5022.17331934322,0.0050222726130841515,5036.367560294325,0.0
High Street Kensington,0.20747424521019658,0.0059271333064324526,12228.861289183886,0.020180529635457196,30421.820056551955,0.06598542458808623
Highbury & Islington,0.19800725088912077,0.002922537418448984,16246.369042427894,0.013749477586516802,11772.8658486773,0.09662691554326536
Highgate,0.15310947379969464,0.0009979083411449543,4852.894520116993,0.008886294593549962,2454.9057324654245,0.05182048623113262
Hillingdon,0.054194269685262905,0.0012553164591284358,2885.403183703211,0.0038239962673157113,9595.355775788732,0.007575757575757576
Holborn,0.1546067695092262,0.0029405460351691285,10262.232813082934,0.019218196973773853,194198.85159763054,0.020202934651603856
Holland Park,0.2124465028793907,0.005620093691035967,12076.594807663896,0.018595491259091372,12670.480818295318,0.07150401351922256
Holloway Road,0.19800725088912077,0.002922537418448984,17611.327111927185,0.013749477586516802,12007.264230319894,0.003787878787878788
Hornchurch,0.0553411315846535,0.0012241225057508227,4798.5811085656305,0.003730735204530682,2603.4790409844395,0.015093904827745133
Hounslow Central,0.08603970965876956,0.0011550518950230796,9927.524599206017,0.006938317471746751,24348.15803103381,0.029957368360410186
Hounslow East,0.08603970965876956,0.0011550518950230796,8661.76725234728,0.006938317471746751,23404.805758962924,0.037302684641087686
Hounslow West,0.08603970965876956,0.0011550518950230796,7940.8063725567135,0.006938317471746751,3181.427330306415,0.02255444175596267
Hyde Park Corner,0.1661467209284235,0.0056258312748122576,4662.233253267647,0.02442377631727076,68989.83104287657,0.059888446295290575
Ickenham,0.054194269685262905,0.0012553164591284358,2545.6600441846103,0.0038239962673157113,1476.8447018900506,0.015093904827745133
Kennington,0.15666736547374135,0.002053114989850631,15177.610861003714,0.010726802840894953,18030.752593214336,0.03834087068402655
Kensal Green,0.14510360403643294,0.0021440446989847753,9029.853482451983,0.00988653857546186,6186.32478707948,0.05899297154050006
Kensington (Olympia),0.1902450324846232,0.003594343239421675,13502.603750019118,0.015040916649356735,18795.249185309785,0.0
Kentish Town,0.15733867236675178,0.0018712924490106363,17268.933629885585,0.015117363619680033,11819.156960479128,0.07316511118792488
Kenton,0.1185912043228254,0.001446240211791965,5494.800007105298,0.0060108791153494654,9135.279463732326,0.007575757575757576
Kew Gardens,0.08056718980499204,0.0009078079708108492,4353.402761422322,0.0036951517558003813,3180.616221360852,0.007575757575757576
Kilburn,0.13604254628868565,0.0015331405011199362,13586.1877121694,0.009586133911201679,5044.819778733219,0.006553174328839728
