num_features_rm,r2,mse
8,0.355977054,0.004333744
8,0.294619161,0.005924447
8,0.357385578,0.006953576
8,0.422149831,0.005474663
8,0.345932338,0.006304427
8,0.487218352,0.007971825
8,0.428071531,0.005557965
8,0.403813369,0.00549559
8,0.328200402,0.006291217
8,0.451478333,0.005833238
8,-0.055904756,0.00495728
8,0.42361215,0.004232262
8,0.120461842,0.00688854
8,0.11350802,0.007546456
8,0.370059618,0.006872074
8,0.376045285,0.005054204
8,0.19560889,0.007198893
8,0.182942491,0.006950421
8,0.229620172,0.005878902
8,0.338326839,0.005383979
8,0.48488875,0.003917118
8,0.184727603,0.006568749
8,0.213549931,0.007591648
8,0.433329371,0.007393561
8,0.471617878,0.005796595
8,0.208596581,0.00639155
8,0.36037719,0.00695467
8,0.248081431,0.005287332
8,0.312220287,0.006924904
8,0.346935328,0.007993082
8,0.382960005,0.00620944
8,0.342378259,0.008121343
9,0.420183232,0.006636621
9,0.321259661,0.006161438
9,0.430152915,0.006804746
9,0.376335936,0.007708991
9,0.362850094,0.006891276
9,0.395547396,0.006266401
9,0.216142701,0.007538368
9,0.33383155,0.006911304
9,0.357380225,0.006557879
9,0.488658652,0.004681078
9,0.259843979,0.007315706
9,0.442171476,0.007084035
9,0.420004137,0.004864967
9,0.439548258,0.007634053
9,0.200194472,0.007777064
9,0.229214056,0.007334629
9,0.346635132,0.00655088
9,0.408205454,0.006100155
9,0.470627917,0.006086909
9,-0.066177362,0.00667378
9,0.261960282,0.006752026
9,0.397846794,0.00545703
9,0.30998959,0.005028833
9,0.314171294,0.006035138
9,0.383342196,0.006115241
9,0.352190344,0.00550287
9,0.452508329,0.005791057
9,0.453509541,0.004966039
9,0.278031091,0.005966089
9,0.262897601,0.005991166
9,0.394653832,0.008120782
9,0.288489603,0.005942118
9,0.197557394,0.005701799
9,0.416731836,0.003709165
9,0.283711417,0.005290989
9,0.507240809,0.00689986
9,0.415351271,0.006012366
9,0.288051189,0.007599053
9,0.271515968,0.006343227
9,0.322464206,0.007543023
9,0.218830655,0.007438551
9,-0.061645385,0.005809587
9,0.104148774,0.006005418
9,0.282841722,0.006427519
9,0.395893744,0.00525322
9,0.409795715,0.005368549
9,0.328528994,0.006749423
9,0.378950076,0.005891777
9,0.495804201,0.005261319
9,0.409796267,0.006298791
10,0.395120711,0.006750005
10,0.289705846,0.005277506
10,0.187405881,0.009408179
10,0.413044015,0.007005666
10,0.252452394,0.008708958
10,0.403745923,0.004827372
10,0.49511646,0.00406997
10,0.427025375,0.005862912
10,0.457180688,0.005317086
10,0.394184336,0.006239411
10,0.508192244,0.005129215
10,0.447687211,0.00554604
10,0.490530085,0.006802281
10,0.33838365,0.005676407
10,0.324335189,0.005625231
10,0.20468408,0.006403763
10,0.458786949,0.004617215
10,0.438298227,0.004739211
10,0.403868481,0.005073214
10,0.332466713,0.0064316
10,0.290939115,0.005619558
10,0.467826421,0.005348229
10,0.348298236,0.006355494
10,0.329576212,0.006162615
10,0.473109974,0.005489815
10,0.433240661,0.00671329
10,0.343234053,0.005186343
10,0.353898891,0.007107375
10,0.48210335,0.005248763
10,0.398014359,0.005352974
10,0.204859295,0.005019047
10,0.540603643,0.004545592
10,0.260417536,0.005471142
10,0.187574978,0.005217293
10,0.352838029,0.005987795
10,0.224447136,0.006004224
10,0.53405359,0.005770569
10,0.408120626,0.007776537
10,0.313771341,0.006166215
10,0.240436369,0.005967202
10,0.479765609,0.007654547
10,0.344835899,0.004787726
10,0.437132087,0.006449508
10,0.469568542,0.005130595
10,0.354128505,0.00762441
10,0.348954492,0.006917766
10,0.233951492,0.006400673
10,0.435609073,0.006687504
10,0.247302736,0.005117523
10,0.182694664,0.005538672
11,0.560011658,0.005105859
11,0.333145959,0.006352643
11,0.318217911,0.007338314
11,0.537739291,0.005395555
11,0.340586426,0.007363369
11,0.323166722,0.005734411
11,0.122927043,0.006159324
11,0.385784538,0.006332822
11,0.441366161,0.005374567
11,0.322367011,0.006251302
11,0.361667627,0.005962992
11,0.453604854,0.007455126
11,0.421093072,0.005598906
11,0.164545376,0.006793051
11,0.470575371,0.007836329
11,0.030448221,0.008971911
11,0.420195441,0.006994954
11,0.100713032,0.007652345
11,0.479070009,0.005487873
11,0.43684486,0.005509572
11,0.286118994,0.006481111
11,0.35545185,0.007399333
11,0.067472164,0.005020022
11,0.387934496,0.007496913
11,0.350828172,0.006220761
11,0.302907771,0.007148325
11,0.337293505,0.005566583
11,0.267737499,0.006370233
11,0.342620161,0.007511042
11,0.330323697,0.00746526
11,0.348157786,0.005326202
11,0.405475766,0.004545223
11,0.340123975,0.007311232
11,0.285758498,0.006894709
11,0.202057271,0.007248875
11,0.470755393,0.005183423
11,0.321154611,0.006852443
11,0.335659877,0.005624957
11,0.225089664,0.006419417
11,0.261854713,0.00528448
11,0.286318062,0.00495228
11,0.243801334,0.006024429
11,0.38174912,0.008289639
11,0.376787964,0.006372099
11,0.233570151,0.006370997
11,0.411031617,0.00647924
11,0.460717304,0.006414333
11,0.272602282,0.007769079
11,0.461985672,0.006561012
11,0.419505651,0.007481711
12,0.38273158,0.006314774
12,0.219405127,0.006619265
12,0.32733658,0.005824242
12,0.287474528,0.007359265
12,0.406452553,0.006959451
12,0.319477083,0.007898004
12,0.388747125,0.00632093
12,0.376662801,0.008246452
12,0.410816313,0.006205929
12,0.42629368,0.006858114
12,0.223252633,0.007223747
12,0.155590222,0.007729338
12,0.251056677,0.007965225
12,0.210261292,0.006397392
12,0.372363951,0.006905678
12,0.15894533,0.008864785
12,0.372552785,0.006322775
12,0.025165297,0.008470919
12,0.401891662,0.005760273
12,0.252700988,0.006431544
12,0.410742436,0.005929886
12,0.356138153,0.006285413
12,0.316355858,0.007366853
12,0.369700078,0.006423226
12,0.292813263,0.006260054
12,0.179290138,0.006848717
12,0.23521696,0.006586584
12,0.358139403,0.007478605
12,0.394727071,0.005801854
12,0.266891712,0.007329379
12,0.197224678,0.009120564
12,0.115235533,0.007430616
12,0.312412106,0.00771287
12,0.237283078,0.007160518
12,0.383997746,0.006152815
12,0.28888498,0.007480903
12,0.261785114,0.006444863
12,0.316640191,0.005949896
12,0.37818322,0.006365773
12,0.382280979,0.006545129
12,0.44103108,0.006849505
12,0.370857415,0.008910375
12,0.306871655,0.005219459
12,0.121372629,0.006713261
12,0.110395942,0.008942624
12,0.203016642,0.007689101
12,0.400718628,0.006531458
12,0.346976878,0.007283388
12,0.048618773,0.00643666
12,0.330891703,0.006531062
13,-0.038605752,0.008621094
13,0.385143954,0.008274562
13,0.186386525,0.009633679
13,0.196081297,0.008280202
13,0.211562111,0.008418666
13,0.396594604,0.006762742
13,0.049283875,0.008360252
13,0.238247508,0.007146558
13,0.268139413,0.009223355
13,0.368588312,0.004491086
13,0.199585513,0.00905581
13,0.0558644,0.008540296
13,0.228512949,0.006553768
13,0.249250543,0.006337727
13,0.367126928,0.006388898
