num_features_rm,r2,mse
2,0.410593143,0.004429896
2,0.356758376,0.004845202
2,-0.276644995,0.003160903
2,0.425812156,0.004195677
2,0.385274601,0.004701762
2,0.31307111,0.00447111
2,0.36859051,0.004796965
2,0.403696927,0.004259576
2,0.423203102,0.004534016
2,0.24014346,0.003468377
2,0.336105223,0.003760884
2,0.394301737,0.005212015
2,0.292621034,0.005049233
2,0.511237203,0.003576063
2,0.433759921,0.00481102
2,0.242625937,0.005136597
2,0.430338966,0.003473411
2,0.425357781,0.005113272
2,0.323360589,0.003353892
2,0.31151982,0.004560879
2,0.246387049,0.002687253
2,0.27880905,0.004545117
2,0.479491323,0.003282481
3,0.272865447,0.004056814
3,0.304962579,0.00464445
3,0.437964075,0.003871703
3,0.475835989,0.002819312
3,0.370790918,0.004779714
3,0.43255637,0.003731851
3,0.474801379,0.003324008
3,0.418955232,0.004333209
3,0.351506729,0.004282945
3,0.476659429,0.003822849
3,0.436012216,0.004108629
3,0.259365125,0.004292274
3,0.326580985,0.007105809
3,0.416440779,0.004595966
3,0.425179042,0.003539299
3,0.311017343,0.004609431
3,0.395323083,0.00394693
3,0.318425319,0.004916789
3,0.505248941,0.002458564
3,0.422501112,0.002881115
3,0.397402626,0.003302366
3,0.366161732,0.004931306
3,0.14550243,0.005740135
3,0.438253993,0.004628038
3,0.14527887,0.004458235
3,0.322985577,0.003123422
3,0.411632786,0.002623298
3,0.4319277,0.002504692
3,0.400651132,0.002670505
3,0.373566006,0.00588645
3,0.325327637,0.004985259
3,0.345339049,0.003424123
3,0.40828378,0.003263753
3,0.406238986,0.003443403
3,0.287057535,0.005521658
3,0.482837637,0.003713131
3,0.282679023,0.002943555
3,0.320839603,0.00524048
3,0.209423144,0.003742171
3,0.408515119,0.001977197
3,0.488179841,0.00319642
3,0.35836136,0.003945017
3,0.36804589,0.005383937
3,0.347636933,0.005828099
3,0.22343718,0.00282217
3,0.39658177,0.004626407
3,0.38933027,0.003412816
3,0.445668725,0.002545234
3,0.246092858,0.004068009
3,0.359944754,0.00524635
4,0.485838151,0.003442998
4,0.271376517,0.00807921
4,0.452563288,0.004112381
4,0.403620105,0.003220075
4,0.507863175,0.002831967
4,0.339595517,0.004789607
4,0.398816617,0.006223271
4,0.363316722,0.005055402
4,0.300422323,0.004408102
4,0.370813645,0.006578417
4,0.387911808,0.005927406
4,0.390792709,0.00342568
4,0.265809912,0.006100213
4,0.348228442,0.003470145
4,0.452034048,0.004609364
4,0.411158128,0.002752101
4,0.344204896,0.007359963
4,0.226395691,0.002794816
4,0.477214801,0.002361045
4,0.471487006,0.004320531
4,0.333862123,0.002858036
4,0.359100395,0.005643444
4,0.294905862,0.003467035
4,0.349061291,0.006458389
4,0.454117608,0.003970535
4,0.498557086,0.002983232
4,0.354803161,0.004994038
4,-0.167875279,0.003016285
4,0.359257254,0.003338234
4,0.422247554,0.003668229
4,0.396560382,0.003133165
4,0.341420565,0.005919197
4,0.230209918,0.003969314
4,0.482132275,0.003144629
4,0.375184681,0.004604562
4,0.415173517,0.004616036
4,0.285266356,0.004281386
4,0.231823336,0.004032932
4,0.365879291,0.005271791
4,0.422813919,0.004268499
4,0.451334293,0.004153269
4,0.366856066,0.004127583
4,0.323853106,0.002804723
4,0.536806138,0.002834705
4,0.311082349,0.003660331
4,0.365305321,0.003508935
4,0.104161972,0.004200537
4,0.350092997,0.004152706
4,0.346772949,0.003872357
4,0.442791458,0.003562939
5,0.385181121,0.004226718
5,0.312734535,0.003833191
5,0.44804175,0.003104326
5,0.509638119,0.003161419
5,0.38202109,0.003808962
5,0.520029724,0.003916729
5,0.366654714,0.00272314
5,0.431187807,0.005000637
5,0.422827059,0.003694838
5,0.438767725,0.00343639
5,0.374574845,0.00465647
5,0.21043149,0.004235636
5,0.383447896,0.005905121
5,0.198886675,0.004274313
5,0.325466775,0.003095177
5,0.326532993,0.00503007
5,0.447946604,0.003406569
5,0.465920252,0.002909518
5,0.365968937,0.003815477
5,0.256661158,0.004564952
5,0.363670301,0.003309136
5,0.196907286,0.002724798
5,0.412569153,0.003477872
5,0.329110272,0.004886044
5,0.453780783,0.004505294
5,0.303113585,0.00423323
5,0.524208781,0.003521571
5,0.306595781,0.004385758
5,0.336563412,0.003913354
5,0.415372895,0.005306584
5,0.367308376,0.00459063
5,0.422101779,0.002784467
5,0.31642965,0.005051024
5,0.213913302,0.004781666
5,0.237488595,0.005312689
5,0.479496766,0.002684856
5,0.385185845,0.004686642
5,0.265090037,0.008162203
5,0.18313303,0.004046368
5,0.436599302,0.004129039
5,0.490916867,0.003828201
5,0.363544586,0.003882456
5,0.485169716,0.004240768
5,0.368098849,0.004921438
5,0.459167901,0.003310386
5,0.380441625,0.003273781
5,0.413778602,0.003877907
5,0.326755234,0.004040788
5,0.460860175,0.00246159
5,0.371098085,0.002836367
6,0.249120646,0.003494269
6,0.383735017,0.003649371
6,0.282235209,0.004097992
6,0.418274317,0.003823845
6,0.331369457,0.003012993
6,0.336115276,0.004522643
6,0.397802614,0.004143239
6,0.311598042,0.005950187
6,0.346350604,0.004794368
6,0.370622521,0.005279335
6,0.012659167,0.003064656
6,0.423467658,0.003489172
6,0.376208829,0.005025268
6,0.366026709,0.004103511
6,0.492320835,0.003069767
6,0.264686571,0.006060139
6,0.390329874,0.005516333
6,0.383525195,0.004702435
6,0.453709263,0.003479164
6,0.151415103,0.005736958
6,0.448908313,0.003181567
6,0.352100516,0.005965647
6,0.276820866,0.004591406
6,0.256064609,0.004905378
6,0.367904026,0.005049265
6,0.37326478,0.004248024
6,0.260984798,0.005198335
6,0.408041885,0.00437455
6,0.400089958,0.003183773
6,0.473375896,0.002834001
6,-0.327824226,0.003622429
6,0.493106821,0.003113835
6,0.106486954,0.003625808
6,0.23050389,0.007686598
6,0.446385381,0.003927733
6,0.379429177,0.004230355
